"키워드","월간 검색량 (PC)","월간 검색량 (Mobile)","월간 검색량 (전체)","블로그 총 발행량","철자 유사도"
"캠핑카","14100","96500","110600","491704","3"
"캠핑의자","8640","61100","69740","394640","3"
"캠핑 난로","9180","58700","67880","145868","3"
"캠핑","15100","56300","71400","4208073","3"
"캠핑 랜턴","8760","32200","40960","137361","3"
"캠핑 버너","2810","16000","18810","114891","3"
"캠핑 매트","3180","15500","18680","195478","3"
"차박 용품","2830","12000","14830","49335","3"
"캠핑 선반","1760","11200","12960","40293","3"
"감성 캠핑용품","1350","9480","10830","59739","3"
"캠핑 가방","1630","9230","10860","263896","3"
"캠핑 이불","1460","8770","10230","108387","3"
"등산용품","2570","8180","10750","123502","3"
"캠핑 히터","1180","7120","8300","72864","3"
"캠핑 러그","1360","6650","8010","10374","3"
"중고캠핑용품","440","2370","2810","18709","3"
"캠핑용품풀세트","380","2350","2730","3635","3"
"부산캠핑용품","220","1700","1920","13012","3"
"청주캠핑용품","130","1130","1260","4165","3"
"캠핑용품테이블","30","270","300","70945","3"
