지역,매장명,주소,위도,경도
서울,홍대점,서울특별시 마포구 잔다리로6길 39(서교동),37.55243806,126.921376
경기,안양1번가점,경기도 안양시 만안구 안양로304번길 13(안양동),37.39971757,126.9217845
경기,성복역점,경기도 용인시 수지구 수지로 125(성복동),37.31338821,127.0796922
대구,대구동성로점,대구광역시 중구 중앙대로 395(동성로3가),35.86835771,128.5934755
서울,강남역점,서울특별시 강남구 테헤란로 101 강남역 지하쇼핑센터 e-35호(역삼동),,
인천,부평역점,"인천광역시 부평구 광장로 16, 29-30호(부평동)",37.48956767,126.7233506
강원,화천 사창리점,강원도 화천군 사내면 사내로 40-4(사창리),38.07166195,127.5213518
전북,군산 수송점,전라북도 군산시 문화로 119(수송동),35.97007652,126.7189447
서울,신도림역점,"서울특별시 구로구 경인로 661, 133호(신도림동)",37.50904922,126.8869873
부산,광복동점,부산광역시 중구 광복로 55(창선동1가),35.09930696,129.0310614
부산,서면점,부산광역시 부산진구 중앙대로692번길 26(부전동),35.15434034,129.0606477
전북,전북대점,"전라북도 전주시 덕진구 기린대로 472, 1층(덕진동1가)",35.84214374,127.1263547
경기,부천위브점,경기도 부천시 신흥로 190(중동),37.50126977,126.7772505
경남,통영죽림점,경상남도 통영시 광도면 죽림2로 55-69 피아빌딩(죽림리),,
경남,경남 사천점,"경상남도 사천시 사남면 조동길 38, 101호(월성리)",35.06215059,128.0686468
경기,시흥 은행점,경기도 시흥시 수인로3287번길 25-2(은행동),37.43772538,126.7957518
경기,연천전곡점,경기도 연천군 전곡읍 전곡로 158(전곡리),38.02626198,127.0683647
경남,통영무전점,"경상남도 통영시 무전8길 22-16(무전동, 진우하이빌2차)",34.8591141,128.4267832
경기,운정신도시1호점,"경기도 파주시 청암로17번길 53, 114호 (목동동)",37.72818253,126.7352236
부산,광복2호점,"부산광역시 중구 광복중앙로 33, 1층(신창동1가)",35.10239566,129.0305602
경기,부천 춘의점,"경기도 부천시 부천로198번길 27, 111호(춘의동)",37.5023406,126.7880633
서울,가산디지털단지점,서울특별시 금천구 디지털로9길 32(가산동),37.4795131,126.8875118
부산,반여점,"부산광역시 해운대구 재반로 230-1, 1층(반여동)",35.19779184,129.1313038
경기,파주금릉점,"경기도 파주시 금빛로 24-10, 105호 (금촌동)",37.75165559,126.7672766
전북,전주효자점,전라북도 전주시 완산구 용머리로 57(효자동1가),35.80694364,127.1163265
경기,망월사역점,경기도 의정부시 평화로 206 보광그랑베르 104호(호원동),,
부산,경성대점,"부산광역시 남구 용소로14번길 23, 1층(대연동)",35.13547083,129.0995331
서울,신설동역점,서울특별시 동대문구 왕산로 3(신설동),37.57620338,127.0236968
충남,아산배방점,충청남도 아산시 배방읍 모산로126번길 17-7배방 삼정그린코아 105호(공수리),,
부산,부산범천점,"부산광역시 부산진구 황령대로 23, 세운이노빌 102호(범천동)",35.14851749,129.0620821
경북,포항양덕점,경상북도 포항시 북구 천마로90번길 3(양덕동),36.08477166,129.3972237
경남,삼천포점,경상남도 사천시 주공로 42(벌리동),34.94191948,128.0869257
전북,군산나운점,전라북도 군산시 백토로 110(나운동),35.96938015,126.7055354
경기,시흥정왕점,"경기도 시흥시 정왕대로 64, 127호(정왕동)",37.3542509,126.7235288
경기,수지구청역점,경기도 용인시 수지구 풍덕천로 130(풍덕천동),37.32312528,127.0961295
전북,진안가위박물관점,전라북도 진안군 진안읍 마이산로 258(단양리),35.76592077,127.4150023
경남,진주경상대점,경상남도 진주시 진주대로 528영빌딩 제1층 101호(가좌동),,
경기,곤지암점,경기도 광주시 곤지암읍 평촌길 31-10,37.35637836,127.3263156
경기,남이섬점,경기도 가평군 가평읍 북한강변로 1054,37.80657901,127.525342
서울,망원역점,서울특별시 마포구 동교로9길 49(망원동),37.55583828,126.9092383
서울,구로디지털단지역점,"서울특별시 구로구 디지털로31길 41, 110호(구로동)",37.4851718,126.8927513
전북,군산 명산1호점,"전라북도 군산시 월명로 460-2, 1층(명산동)",35.98333952,126.7102648
